instance,settings,m,n,value,time,nIter,best_iter,improv_count
5-10-1917698,Memetic-LS_MPX_1099666,5,10,1765.0,1024001.0,5529492,5529492,5529493
20-10-1762875,Memetic_MMX_1099666,20,10,2066.0,1024003.0,433418,433418,433419
15-40-1110588,Memetic_MPX_1287823,15,40,3245.0,1024005.0,88807,88807,88808
10-10-1110588,Memetic-LS_MMX_1881515,10,10,1772.0,1024001.0,4481240,4481240,4481241
5-10-1891798,Memetic_MPX_1881515,5,10,1943.0,1024002.0,1013405,1013405,1013406
15-25-1110588,Memetic_MPX_1287823,15,25,2823.0,1024004.0,195673,195673,195674
15-25-1110588,Memetic-LS_MMX_1881515,15,25,2812.0,1024001.0,1282021,1282021,1282022
10-10-1762875,Memetic-LS_MMX_1099666,10,10,1995.0,1024001.0,4678878,4678878,4678879
20-10-1891798,Memetic_MMX_1881515,20,10,2225.0,1024002.0,453383,453383,453384
20-25-1917698,Memetic-LS_MPX_1881515,20,25,2160.0,1024001.0,1001419,1001419,1001420
15-25-1767920,Memetic-LS_MMX_1881515,15,25,2713.0,1024001.0,1154339,1154339,1154340
15-25-1767920,Memetic-LS_MPX_1881515,15,25,2446.0,1024001.0,1156790,1156790,1156791
10-25-1762875,Memetic_MPX_1099666,10,25,2717.0,1024001.0,242263,242263,242264
20-10-1891798,Memetic-LS_MPX_1881515,20,10,1899.0,1024001.0,1787516,1787516,1787517
25-10-1917698,Memetic-LS_MPX_1287823,25,10,1438.0,1024001.0,1589731,1589731,1589732
15-25-1762875,Memetic-LS_MPX_1881515,15,25,2446.0,1024001.0,1163066,1163066,1163067
5-40-1891798,Memetic_MMX_1099666,5,40,3458.0,1024006.0,108937,108937,108938
10-10-1110588,Memetic_MPX_1287823,10,10,1787.0,1024005.0,649828,649828,649829
20-10-1767920,Memetic-LS_MMX_1099666,20,10,1973.0,1024001.0,2351443,2351443,2351444
20-10-1110588,Memetic_MPX_1881515,20,10,1712.0,1024002.0,386971,386971,386972
