instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
mm-20-25,Memetic-LS_MPX,20.0,25.0,3590.0,1001.6,1098.7333333333333,1098.7333333333333,1099.7333333333333,15
mm-25-10,Memetic_MMX,25.0,10.0,4555.533333333334,1004.4666666666667,137.33333333333334,137.33333333333334,138.33333333333334,15
mm-25-25,Memetic-LS_MPX,25.0,25.0,2972.4,1001.4666666666667,1093.4666666666667,1093.4666666666667,1094.4666666666667,15
mm-15-25,Memetic_MPX,15.0,25.0,5276.866666666667,1006.8666666666667,118.8,118.8,119.8,15
mm-5-40,Memetic_MPX,5.0,40.0,6678.8,1011.1333333333333,78.33333333333333,78.33333333333333,79.33333333333333,15
mm-10-10,Memetic_MPX,10.0,10.0,3191.3333333333335,1001.9333333333333,406.46666666666664,406.46666666666664,407.46666666666664,15
mm-15-25,Memetic-LS_MPX,15.0,25.0,4172.133333333333,1001.2666666666667,1042.9333333333334,1042.9333333333334,1043.9333333333334,15
mm-10-40,Memetic_MPX,10.0,40.0,6362.8,1009.1333333333333,74.93333333333334,74.93333333333334,75.93333333333334,15
mm-10-25,Memetic_MPX,10.0,25.0,5193.2,1006.0666666666667,146.73333333333332,146.73333333333332,147.73333333333332,15
mm-15-10,Memetic-LS_MMX,15.0,10.0,3046.6666666666665,1001.2,2750.8,2750.8,2751.8,15
mm-5-10,Memetic_MPX,5.0,10.0,2802.6,1001.9333333333333,648.0666666666667,648.0666666666667,649.0666666666667,15
mm-25-25,Memetic_MMX,25.0,25.0,5882.0,1008.9333333333333,72.53333333333333,72.53333333333333,73.53333333333333,15
mm-15-10,Memetic_MMX,15.0,10.0,4081.0,1003.4,218.46666666666667,218.46666666666667,219.46666666666667,15
mm-5-25,Memetic-LS_MPX,5.0,25.0,3952.3333333333335,1001.2,1229.6,1229.6,1230.6,15
mm-20-10,Memetic_MPX,20.0,10.0,3644.8,1002.7333333333333,247.4,247.4,248.4,15
mm-5-10,Memetic-LS_MPX,5.0,10.0,2432.133333333333,1001.0,4627.6,4627.6,4628.6,15
mm-5-40,Memetic_MMX,5.0,40.0,6553.266666666666,1011.6666666666666,78.33333333333333,78.33333333333333,79.33333333333333,15
