instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-20-10-1891798,Memetic_MPX,20.0,10.0,4015.3333333333335,1003.3333333333334,213.0,213.0,214.0
mm-25-10-1917698,Memetic_MPX,25.0,10.0,3941.0,1004.0,157.33333333333334,157.33333333333334,158.33333333333334
mm-15-25-1917698,Memetic_MPX,15.0,25.0,5299.333333333333,1003.3333333333334,120.0,120.0,121.0
mm-5-10-1917698,Memetic_MPX,5.0,10.0,3095.0,1002.0,546.3333333333334,546.3333333333334,547.3333333333334
mm-15-25-1767920,Memetic-LS_MPX,15.0,25.0,3752.0,1001.3333333333334,1043.0,1043.0,1044.0
mm-25-10-1917698,Memetic_MMX,25.0,10.0,4562.333333333333,1005.0,121.33333333333333,121.33333333333333,122.33333333333333
mm-25-25-1891798,Memetic-LS_MMX,25.0,25.0,2412.0,1002.0,1275.0,1275.0,1276.0
mm-5-25-1762875,Memetic_MPX,5.0,25.0,5304.0,1002.0,180.0,180.0,181.0
mm-5-10-1891798,Memetic-LS_MMX,5.0,10.0,2711.6666666666665,1001.0,5640.333333333333,5640.333333333333,5641.333333333333
mm-25-25-1917698,Memetic-LS_MPX,25.0,25.0,2367.0,1001.0,1161.0,1161.0,1162.0
mm-5-40-1917698,Memetic_MPX,5.0,40.0,6707.333333333333,1009.6666666666666,76.66666666666667,76.66666666666667,77.66666666666667
mm-10-40-1762875,Memetic-LS_MMX,10.0,40.0,4407.0,1001.0,971.3333333333334,971.3333333333334,972.3333333333334
mm-5-25-1917698,Memetic-LS_MMX,5.0,25.0,3880.0,1001.0,1451.0,1451.0,1452.0
mm-15-25-1762875,Memetic-LS_MMX,15.0,25.0,4543.0,1001.0,1091.3333333333333,1091.3333333333333,1092.3333333333333
mm-10-25-1762875,Memetic_MPX,10.0,25.0,4984.333333333333,1005.6666666666666,149.66666666666666,149.66666666666666,150.66666666666666
mm-10-10-1110588,Memetic-LS_MMX,10.0,10.0,3062.0,1001.0,3465.0,3465.0,3466.0
mm-25-10-1917698,Memetic-LS_MMX,25.0,10.0,3138.0,1002.0,1869.3333333333333,1869.3333333333333,1870.3333333333333
mm-20-25-1891798,Memetic-LS_MPX,20.0,25.0,3506.0,1001.0,1115.3333333333333,1115.3333333333333,1116.3333333333333
mm-20-10-1917698,Memetic-LS_MMX,20.0,10.0,2750.3333333333335,1001.0,2558.6666666666665,2558.6666666666665,2559.6666666666665
mm-15-25-1891798,Memetic-LS_MPX,15.0,25.0,4355.0,1001.0,1113.3333333333333,1113.3333333333333,1114.3333333333333
mm-5-25-1767920,Memetic_MMX,5.0,25.0,5301.333333333333,1006.6666666666666,176.0,176.0,177.0
