instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-25-10-1762875,Memetic-LS_MPX_1287823,25,10,2189.0,1024001.0,2133284,2133284,2133285
WS_mm-15-40-1110588,Memetic-LS_MPX_1287823,15,40,3769.0,1024001.0,848219,848219,848220
WS_mm-10-25-1917698,Memetic_MPX_1881515,10,25,5259.0,1024002.0,149204,149204,149205
WS_mm-20-10-1762875,Memetic_MPX_1099666,20,10,3964.0,1024001.0,242921,242921,242922
WS_mm-15-25-1110588,Memetic_MPX_1881515,15,25,6236.0,1024007.0,120404,120404,120405
WS_mm-10-40-1891798,Memetic-LS_MMX_1099666,10,40,6006.0,1024002.0,716264,716264,716265
WS_mm-10-40-1110588,Memetic_MPX_1881515,10,40,7172.0,1024008.0,72606,72606,72607
WS_mm-5-40-1110588,Memetic-LS_MMX_1287823,5,40,6267.0,1024001.0,790438,790438,790439
WS_mm-5-10-1110588,Memetic-LS_MMX_1099666,5,10,2616.0,1024001.0,4908295,4908295,4908296
WS_mm-10-10-1917698,Memetic_MMX_1287823,10,10,3583.0,1024001.0,344380,344380,344381
WS_mm-5-10-1891798,Memetic-LS_MMX_1287823,5,10,3030.0,1024001.0,4776631,4776631,4776632
WS_mm-20-25-1762875,Memetic_MPX_1881515,20,25,5615.0,1024003.0,103555,103555,103556
WS_mm-10-10-1110588,Memetic_MMX_1881515,10,10,3506.0,1024002.0,385234,385234,385235
WS_mm-15-10-1762875,Memetic-LS_MPX_1881515,15,10,2783.0,1024001.0,2561859,2561859,2561860
WS_mm-10-40-1762875,Memetic_MMX_1099666,10,40,7637.0,512014.0,41046,41046,41045
WS_mm-20-10-1110588,Memetic-LS_MMX_1881515,20,10,3705.0,1024001.0,2416653,2416653,2416654
WS_mm-5-10-1762875,Memetic-LS_MPX_1287823,5,10,2152.0,1024001.0,5680581,5680581,5680582
WS_mm-25-25-1110588,Memetic-LS_MPX_1099666,25,25,2424.0,1024001.0,1224127,1224127,1224128
WS_mm-15-40-1891798,Memetic_MMX_1287823,15,40,7588.0,1024014.0,68719,68719,68720
WS_mm-5-10-1110588,Memetic_MPX_1881515,5,10,2723.0,1024002.0,643411,643411,643412
WS_mm-25-10-1762875,Memetic_MPX_1881515,25,10,4339.0,1024002.0,197802,197802,197803
WS_mm-10-25-1767920,Memetic-LS_MMX_1099666,10,25,5271.0,1024001.0,1274401,1274401,1274402
WS_mm-15-40-1767920,Memetic_MPX_1287823,15,40,7254.0,1024017.0,53814,53814,53815
WS_mm-5-40-1767920,Memetic-LS_MPX_1287823,5,40,6127.0,1024001.0,678324,678324,678325
WS_mm-20-10-1917698,Memetic-LS_MMX_1287823,20,10,3807.0,1024001.0,2323499,2323499,2323500
