instance_prefix,settings_prefix,m,n,value,time,nIter,best_iter,improv_count,solved
mm-10-40,Memetic_MMX,10.0,40.0,7693.933333333333,1024009.3333333334,83726.4,83726.4,83726.4,15
mm-5-40,Memetic-LS_MMX,5.0,40.0,6583.666666666667,1024003.4,1005566.8,1005566.8,1005566.8,15
mm-5-40,Memetic-LS_MPX,5.0,40.0,6093.8,1024002.5333333333,498161.3333333333,498161.3333333333,498161.3333333333,15
mm-5-25,Memetic_MMX,5.0,25.0,5484.733333333334,1024002.8666666667,208950.26666666666,208950.26666666666,208950.26666666666,15
mm-15-25,Memetic-LS_MMX,15.0,25.0,5470.0,1024002.4666666667,1328159.6666666667,1328159.6666666667,1328159.6666666667,15
mm-10-10,Memetic_MMX,10.0,10.0,3481.6666666666665,1024001.8,448740.6,448740.6,448740.6,15
mm-20-25,Memetic-LS_MMX,20.0,25.0,5365.733333333334,1024001.8666666667,1276462.2666666666,1276462.2666666666,1276462.2666666666,15
mm-10-25,Memetic-LS_MMX,10.0,25.0,5282.466666666666,1024001.8666666667,1629657.4,1629657.4,1629657.4,15
mm-5-25,Memetic-LS_MMX,5.0,25.0,5083.933333333333,1024001.0666666667,2207256.6,2207256.6,2207256.6,15
mm-10-10,Memetic-LS_MPX,10.0,10.0,2856.133333333333,1024001.0,2097102.0,2097102.0,2097102.0,15
mm-20-10,Memetic-LS_MPX,20.0,10.0,2201.4666666666667,1024001.0,2555618.4,2555618.4,2555618.4,15
mm-10-40,Memetic-LS_MPX,10.0,40.0,5022.4,1024001.7333333333,576840.0666666667,576840.0666666667,576840.0666666667,15
mm-25-10,Memetic-LS_MMX,25.0,10.0,4222.4,1024001.0,2350816.2,2350816.2,2350816.2,15
mm-15-40,Memetic_MMX,15.0,40.0,8173.066666666667,1024009.4666666667,68690.2,68690.2,68690.2,15
mm-25-10,Memetic-LS_MPX,25.0,10.0,2035.4,1024001.2,2072124.4666666666,2072124.4666666666,2072124.4666666666,15
mm-20-25,Memetic-LS_MPX,20.0,25.0,2633.2,1024001.2666666667,1149793.8666666667,1149793.8666666667,1149793.8666666667,15
mm-25-10,Memetic_MMX,25.0,10.0,5011.0,1024003.5333333333,184071.6,184071.6,184071.6,15
mm-25-25,Memetic-LS_MPX,25.0,25.0,2072.2,1024001.8666666667,1080537.1333333333,1080537.1333333333,1080537.1333333333,15
mm-15-25,Memetic_MPX,15.0,25.0,5590.066666666667,1024005.1333333333,201169.26666666666,201169.26666666666,201169.26666666666,15
mm-5-40,Memetic_MPX,5.0,40.0,7303.333333333333,1024012.8666666667,49254.73333333333,49254.73333333333,49254.73333333333,15
mm-10-10,Memetic_MPX,10.0,10.0,3329.9333333333334,1024001.8,430604.5333333333,430604.5333333333,430604.5333333333,15
mm-15-25,Memetic-LS_MPX,15.0,25.0,3383.4,1024002.0,1293414.7333333334,1293414.7333333334,1293414.7333333334,15
mm-10-40,Memetic_MPX,10.0,40.0,6990.933333333333,1024007.8666666667,93935.46666666666,93935.46666666666,93935.46666666666,15
mm-10-25,Memetic_MPX,10.0,25.0,5529.133333333333,1024005.7333333333,166456.93333333332,166456.93333333332,166456.93333333332,15
mm-15-10,Memetic-LS_MMX,15.0,10.0,3930.2,1024001.0,3021162.066666667,3021162.066666667,3021162.066666667,15
mm-5-10,Memetic_MPX,5.0,10.0,2865.6,1024001.9333333333,450978.5333333333,450978.5333333333,450978.5333333333,15
mm-25-25,Memetic_MMX,25.0,25.0,6795.933333333333,1024007.5333333333,91038.4,91038.4,91038.4,15
mm-15-10,Memetic_MMX,15.0,10.0,4308.666666666667,1024002.6,287599.86666666664,287599.86666666664,287599.86666666664,15
mm-5-25,Memetic-LS_MPX,5.0,25.0,4838.733333333334,1024001.4666666667,843541.0666666667,843541.0666666667,843541.0666666667,15
mm-20-10,Memetic_MPX,20.0,10.0,3764.866666666667,1024002.0666666667,412319.3333333333,412319.3333333333,412319.3333333333,15
mm-5-10,Memetic-LS_MPX,5.0,10.0,2721.0666666666666,1024001.0,3454064.6666666665,3454064.6666666665,3454064.6666666665,15
mm-5-40,Memetic_MMX,5.0,40.0,7584.0,1024006.8,90505.66666666667,90505.66666666667,90505.66666666667,15
